Date-time,Text, Unix Timestamp
12:39 AM - 19 Dec 2013,@phate191 ci scusiamo  il treno ha qualche minuto di ritardo  non ci sono ulteriori rallentamenti sulla linea.,1387442389

12:01 AM - 19 Dec 2013,#tram12 #tram27: rallentamenti (inconveniente tecnico ora risolto). #ATM #Milano,1387440085

11:43 PM - 18 Dec 2013,#M2 has resumed service on entire line with delays between Cascina Gobba and Gessate. #ATM #Milan,1387439001

11:41 PM - 18 Dec 2013,#M2: la circolazione riprende su tutta la linea con rallentamenti nella tratta Cascina Gobba/Gessate dopo sospensione. #ATM #Milano,1387438898

11:39 PM - 18 Dec 2013,@WilliamPeig sì  la circolazione ha appena ripreso.,1387438768

11:38 PM - 18 Dec 2013,@nobilem ti aggiorniamo: la circolazione ha appena ripreso in tutte le direzioni.,1387438727

11:37 PM - 18 Dec 2013,#M2 Vimodrone - Cernusco S.N: trains will be back to normal in a few minutes. #ATM #Milan,1387438654

11:36 PM - 18 Dec 2013,#M2: sta per riprendere la circolazione tra Vimodrone e Cernusco S.N. dopo sospensione per soccorso a una persona colta da malore. #ATM,1387438605

11:27 PM - 18 Dec 2013,#M2: no service between Vimodrone and Cernusco S.N. Replacement buses operating. Updates to come. #ATM #Milan,1387438040

11:25 PM - 18 Dec 2013,#M2: circolazione sospesa tra Vimodrone e Cernusco S.N (persona colta da malore). Seguono aggiornamenti. #ATM #Milano,1387437908

10:00 PM - 18 Dec 2013,Buongiorno da #ATM Informa. Fino alle 20 seguiteci per ricevere informazioni sulla circolazione delle linee metropolitane e di superficie.,1387432847

10:58 AM - 18 Dec 2013,Buona serata da @atm_informa. Le informazioni sulla mobilità a #Milano tornano domani dalle 7 per aggiornarvi in tempo reale fino alle 20.,1387393138

10:23 AM - 18 Dec 2013,#bus37 #bus42 #bus61 #bus62 #bus90 #bus91 #bus92 #bus93 #bus924: rallentamenti (traffico intenso in diverse zone della città). #ATM #Milano,1387391026

7:43 AM - 18 Dec 2013,@TwitWithCris ciao  puoi rivolgerti all'Ufficio che raccoglie gli oggetti smarriti sui mezzi #ATM. Per altre info: http://bit.ly/14oirkA .,1387381399

7:22 AM - 18 Dec 2013,19/12: #tram9 modifica il percorso dalle 21.30 circa a fine servizio (lavori stradali in piazza V Giornate) http://bit.ly/19c0gE3 . #ATM,1387380144

6:47 AM - 18 Dec 2013,@PartitionPls seguici  daremo presto aggiornamenti sull'apertura delle nuove stazioni. Trovi maggiori info qui: http://bit.ly/JHAxIb .,1387378037

6:41 AM - 18 Dec 2013,#bus61: riprende il percorso regolare con rallentamenti dopo deviazione. #ATM #Milano,1387377666

6:29 AM - 18 Dec 2013,#bus61 > Brasilia: devia da via Fatebenefratelli a largo Greppi  Lanza (intervento di soccorso a due passeggeri). #ATM #Milano,1387376960

6:20 AM - 18 Dec 2013,#tram5: termina in piazza Ascoli (auto sui binari). Bus di collegamento fino al capolinea Ortica. #ATM #Milano,1387376428

5:31 AM - 18 Dec 2013,#tram9: riprende il percorso normale con rallentamenti dopo deviazione (auto in sosta irregolare rimossa). #ATM #Milano,1387373470

4:50 AM - 18 Dec 2013,#tram5: riprende il percorso regolare in entrambe le direzioni con rallentamenti dopo deviazione per auto in sosta sui binari. #ATM #Milano,1387371017

4:43 AM - 18 Dec 2013,#tram5 > Ortica: termina in Lunigiana  > Ospedale Maggiore: termina in Lagosta (auto sui binari). Bus sostitutivi: Zara/Marche-Lunigiana.,1387370582

4:39 AM - 18 Dec 2013,#tram9: termina in Porta Lodovica (auto in sosta irregolare). Bus di collegamento tra Porta Lodovica e Porta Genova. #ATM #Milano,1387370352

